'annuary_id','module'
8109,'L|M|13|8|_|1981'
8109,'W|_|13|8|TB|03|C'
8109,'L|M|13|B|_|2041'
8109,'W|_|14|4|NL|04|C'
8109,'W|_|14|7|__|05|C'
8109,'L|M|15|1|_|7529'
8109,'W|_|15|7|__|06|8'
8109,'BK|18|A|GT|17|8'
8109,'L|M|20|5|_|2035'
8109,'W|_|20|8|__|07|F'
8109,'BK|21|2|DF|17|F'
8112,'G|_|81|6|AG|83|C'
8112,'G|_|95|C|AG|99|C'
8132,'BN|85|_|MO|__|_'
8132,'L|F|00|_|_|6396'
8132,'BW|10|_|__|57|_'
8132,'BT|16|C|TL|62|8'
8132,'L|E|17|8|_|2157'
8132,'BL|17|B|MO|02|8'
8132,'BV|18|4|TL|__|1'
8132,'BT|18|5|TL|39|_'
8132,'BM|20|_|PU|01|2'
8168,'BT|11|B|PU|59|A'
8168,'W|P|11|B|MO|06|A'
8181,'BN|__|_|CH|__|_'
8181,'BC|05|7|US|__|_'
8181,'BW|10|_|GR|64|3'
8181,'L|M|11|4|_|7325'
8181,'BT|11|3|MO|__|4'
8181,'L|S|11|5|_|8083'
8181,'BP|11|5|MO|01|4'
8185,'BL|13|_|GR|__|A'
8185,'L|M|13|C|_|2157'
8314,'BN|82|_|GR|15|_'
